순위,상품명,판매가,작가,출판사,출시일자,분야
100,EEA: English for Everyday Activities(한글판),"12,600",Lawrence J. Zwier,웅진컴퍼스,20201217,외국어
101,일인칭 단수,"13,050",무라카미 하루키,문학동네,20201126,소설
102,나는 나로 살기로 했다,"12,420",김수현,마음의숲,20200316,시/에세이
103,대한민국 재건축 재개발 지도,"17,100",정지영,다산북스,20210825,경제/경영
104,보통의 언어들,"13,050",김이나,위즈덤하우스,20200527,시/에세이
105,블랙 쇼맨과 이름 없는 마을의 살인,"17,820",히가시노 게이고,알에이치코리아,20201130,소설
106,뉴욕주민의 진짜 미국식 주식투자,"20,700",뉴욕주민,비즈니스북스,20201216,경제/경영
107,소수몽키의 한 권으로 끝내는 미국주식,"18,000",소수몽키(홍승초),길벗,20210324,경제/경영
108,듄 1(DUNE),"22,500",프랭크 허버트,황금가지,20210121,소설
109,"빌 게이츠, 기후 재앙을 피하는 법","16,020",빌 게이츠,김영사,20210216,정치/사회
110,거꾸로 읽는 세계사,"15,750",유시민,돌베개,20211029,역사/문화
111,비전공자를 위한 이해할 수 있는 IT 지식,"15,120",최원영,티더블유아이지,20200714,컴퓨터/IT
112,멘탈의 연금술,"14,400",보도 섀퍼,토네이도,20201214,자기계발
113,체리새우: 비밀글입니다,"10,350",황영미,문학동네,20190128,청소년
114,주식 공부 5일 완성,"16,200",박민수,비즈니스북스,20210118,경제/경영
115,"위기의 시대, 돈의 미래","15,750",짐 로저스,리더스북,20201120,경제/경영
116,130층 나무 집,"12,600",앤디 그리피스,시공주니어,20210315,어린이(초등)
117,나는 주식 대신 달러를 산다,"14,400",박성현,알에이치코리아,20210530,경제/경영
118,미드나잇 선 1,"14,220",스테프니 메이어,북폴리오,20201224,소설
119,존리의 금융문맹 탈출,"14,400",존 리,베가북스,20201012,경제/경영
120,강방천의 관점,"22,500",강방천,한국경제신문,20210303,경제/경영
121,휴먼카인드(리커버 특별판),"19,800",뤼트허르 브레흐만,인플루엔셜,20210302,인문
122,투자의 본질,"16,200",박세익,위너스북,20210820,경제/경영
123,50 홍정욱 에세이,"13,050",홍정욱,위즈덤하우스,20210114,시/에세이
124,싱크 어게인(리커버 블랙 에디션),"17,820",애덤 그랜트,한국경제신문,20210330,경제/경영
125,알사탕,"10,800",백희나,책읽는곰,20170325,유아(0~7세)
126,나의 첫 주식 교과서,"14,850",강방천 외,페이지2북스,20210721,경제/경영
